ID_star,ID_system,Name,,Karmn,GJ,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,SKG,SKG_ref,Nplanet,Pl_Ref,Type,Class,Component,System,SB,SB_ref,object_type,Notes_multiplicity,WDS_id,WDS_disc,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,s02,rho02,theta01,theta02,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,M01,eM01,R01,eR01,M02,eM02,R02,eR02,q,Porb_d,ePorb_d,Porb_ref,a_au,a_ref,Teff_K,eTeff_K,Teff_ref,logg,elogg,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Mass_A,eMass_A,Mass_B,eMass_B,Mass_tot,eMass_tot,Ug_J,eUg_J,Porb_a,ePorb_a,muratio,deltaPA,deltad,crit_parity,crit_ruwe,crit_ipd,crit_rv,crit_rv_error,crit_fmp,crit_non_single,crit_DR3_non_single,Candidate,Bool_rho,Bool_new,HR_num,Bool_HR,Bool_MM,Bool_Lbol,Bool_DR2,Bool_FGK,Bool_WD,Bool_OBA,Bool_NMS,Bool_UCD,Bool_widest,GaiaDR3_id,GaiaDR2_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,d_pc,ed_pc,d01,ed01,d02,ed02,d03,ed03,d04,ed04,pm,pm_error,pm_ref,pmra,pmra_error,pmdec,pmdec_error,pmA,pmra_A_mas,epmra_A_mas,pmdec_A_mas,epmdec_A_mas,pmB,pmra_B_mas,epmra_B_mas,pmdec_B_mas,epmdec_B_mas,pmC,pmra_C_mas,epmra_C_mas,pmdec_C_mas,epmdec_C_mas,rv,rv_error,rv_ref,ruwe,l,b,RA_J2000,DE_J2000,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source
2577,708,GJ 1284,,J23302-203,1284,23:30:13.80,-20:23:30.7,M2.0 Ve,72.0,2006A&A...460..695T,,,0,,Multiple,Quintuple,Bab,,SB2,Giz02 / Jeff18 / Car21,Low-Mass,,22577-2937,SHY110,AE,1991,1999,4,189.90,999.9,8.76,11.06,206051.1082,12953.9992,6.48275,,189.75,,0.13310,0.00424,,,Car21,0.0141,0.0030,,,0.119,0.0030,,,8.4397,11.838033,0.000076,Car21,6.48275,Car21,,,,,,,,,8.9292,0.0039,0.6900,0.1040,0.1331,0.0042,,,7.863E+32,1.211E+32,103096597.72,6518519.00,0.0808,0.3631,0.0854,True,True,False,False,False,False,0,,false,false,false,4,true,false,true,false,false,false,false,false,false,true,2391670474561181440,2391670474561181440,23301341-2023271,J233013.69-202329.7,352.55748019396500,0.05391722917556760,-20.391870916336100,0.054970886558294300,62.867893987799700,0.075850405,DR3,15.906370272146600,0.019191109335655700,15.906370272146600,0.019191109335655700,,,,,,,375.233529157526,0.0921643572952853,DR3,314.43128104293800,0.06492153,-204.7759041140070,0.06541761,375.233529157526,314.431281042938,0.06492153,-204.775904114007,0.06541761,,,,,,,,,,,-18.68,0.2,2020A&A...642A.179M,2.2862682,48.52294671553320,-70.2663423716989,352.555889,-20.390869,11.3190,0.0040,9.9371,0.0029,8.7766,0.0041,7.200,0.019,6.608,0.042,6.329,0.026,AAA,6.230,0.076,6.018,0.036,5.995,0.017,5.818,0.037,AAAA,0.38952869176864600,141.44314575195300,1.4288338,0,0,NOT_AVAILABLE,,,,,141,141,0.010545928962528700,0,False
2410,664,Ross 268,,,,22:06:23.02,+17:22:22.1,M3.5 V,73.5,2013AJ....145..102L,,,0,,Multiple,Triple*,C*,,,-,High proper motion,,,,,,,,,,,,89857.6792,5100.5502,,,50.15,,0.34670,0.01510,0.35140,0.01100,This work,,,,,,,,,,,,,,,3200,50,This work,5.50,0.25,0.0116628874,0.0000519174,This work,10.6004,0.0032,0.5050,0.0312,0.3467,0.0151,0.8517,0.0463,3.437E+33,2.598E+32,29187552.24,593928.11,0.2098,8.6365,0.0814,False,False,False,False,False,False,0,,false,true,true,4,true,true,true,false,false,false,false,false,false,true,1776179945695834368,1776179945695834368,22062259+1722206,J220622.89+172221.6,331.59592583103500,0.026438916102051700,17.372810486070900,0.024933544918894800,56.76254141522400,0.03219382,DR3,17.6172520656694,0.009991917693534980,17.6172520656694,0.009991917693534980,,,,,,,371.558594152745,0.0446189089784429,DR3,361.9138373987950,0.033715222,84.10804472844980,0.029225517,371.558594152745,361.913837398795,0.033715222,84.1080447284498,0.029225517,,,,,,,,,,,-35.73703,0.28335536,DR3,1.4175621,76.21781733496770,-30.15364230594430,331.594139,17.372400,13.3651,0.0037,11.8301,0.0029,10.6217,0.0039,8.936,0.018,8.375,0.024,8.076,0.023,AAA,7.910,0.023,7.782,0.020,7.657,0.019,7.433,0.132,AAAB,0.18269965052604700,44.606685638427700,1.4574168,0,0,NOT_AVAILABLE,0.99212116,2.7191315,12,-2.812814,169,169,0.04050394520163540,0,False
2275,622,V*AUMic,,J20451-313,,20:45:09.88,-31:20:33.0,M0.5 V,70.5,2006AJ....132..866R,beta Pic,Cab09/Ell14/Mal14/Gag18a,2,Pla21 Mart21,Multiple,SKG,C,,,-,Low-Mass,,20452-3120,LDS 720,AB,1920,1999,5,212.70,4680.48,8.93,11.36,45473.3814,4681.1750,,,32.90,,0.65370,0.02650,0.62150,0.01190,This work,,,,,,,,,,,,,,,3768,20,Marf21+,5.50,0.25,0.0990152200,0.0007631994,This work,7.9064,0.0029,0.4203,0.0311,0.6537,0.0265,1.4877,0.0515,1.066E+34,8.993E+32,9357114.33,177990.03,0.1458,7.3737,0.0213,True,False,False,False,False,False,0,,false,true,false,4,true,false,true,false,false,false,false,false,false,false,6794047652729201024,6794047652729201024,20450949-3120266,J204509.75-312030.9,311.2911826481040,0.017331700772047000,-31.3425000799281,0.011309021152555900,102.9431913175490,0.023112189,DR3,9.714095582244960,0.002180950582427080,9.714095582244960,0.002180950582427080,,,,,,,456.99756943443,0.029173930487532,DR3,281.31903452626200,0.021952942,-360.14771869635400,0.019214228,456.99756943443,281.319034526262,0.021952942,-360.147718696354,0.019214228,,,,,,,,,,,-6.8976626,0.366353,DR3,0.92735684,12.652982720029100,-36.80405271984330,311.289550,-31.340738,8.9100,0.0037,7.8434,0.0029,6.7986,0.0040,5.436,0.017,4.831,0.016,4.529,0.020,AAE,4.449,0.277,4.008,0.166,4.313,0.014,4.140,0.026,BBAA,0.09781371057033540,6.1085076332092300,1.3734394,11,0,NOT_AVAILABLE,1.2310867E-06,7.116991,26,0.40394524,405,404,0.014066279865801300,1,False
916,250,GJ 282 C,,J07361-031,282 C,07:36:07.15,-03:06:43.4,M1.0 V,71.0,2015A&A...577A.128A,,,0,,Multiple,Quadruple,Cab,,SB1,Bar21,Spectroscopic binary,,,,,,,,,,,,273662.8018,3894.1760,6.224,,296.71,,0.74210,0.05820,,,Bar21,0.554,0.058,,,0.1881,0.0048,,,0.3395,6591,177,Bar21,6.224,Bar21,,,,,,,,,8.3764,0.0050,0.7873,0.1181,0.7421,0.0582,2.1694,0.1629,3.766E+33,6.375E+32,115763410.47,4982878.24,0.051392,0.049668,0.0107,True,True,False,False,False,False,0,,false,true,false,4,true,false,true,false,true,false,false,false,false,false,3060788519149063680,3060788514846284032,07360708-0306385,J073607.13-030641.3,114.02980309738300,0.11188311129808400,-3.1120644097654700,0.09046285599470140,70.27489246720910,0.13108253,DR3,14.229833229081200,0.026542659485624800,14.229833229081200,0.026542659485624800,,,,,,,302.346627979169,0.172884221488573,DR3,74.12861818710940,0.14431027,-293.118459698539,0.095202416,302.346627979169,74.1286181871094,0.14431027,-293.118459698539,0.095202416,,,,,,,,,,,-17.017765,0.2268626,DR3,6.531094,220.8657970546590,8.476562899584090,114.029522,-3.110702,10.1391,0.0035,9.1424,0.0029,8.1068,0.0039,6.791,0.034,6.155,0.036,5.934,0.018,AAA,5.965,0.109,5.700,0.048,5.746,0.016,5.597,0.045,AAAA,1.1467782258987400,1984.5648193359400,1.3821064,0,0,NOT_AVAILABLE,0.00090349646,2.1661978,13,1.5798999,522,518,0.024219563230872200,47,False
2419,667,LP 759-25,,,,22:05:35.44,-11:04:31.8,M6.0 Ve,76.0,2003AJ....126.3007R,,,0,,Multiple,Double,B,,,-,High proper motion,,22059-1155,WNO 57,,1998,1998,1,355.70,3030.6,10.15,18,59342.6892,3030.6223,,,355.66,,0.11780,0.00940,0.13440,0.00480,This work,,,,,,,,,,,,,,,2800,50,This work,5.00,0.25,0.0009999204,0.0000063917,This work,13.8921,0.0037,0.7468,0.0255,0.1178,0.0094,0.8646,0.0349,2.615E+33,2.270E+32,15547172.65,244350.81,0.0531,3.0024,0.3225,False,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,true,2614071100988460544,2614071100988460544,22053575-1104287,J220535.54-110430.8,331.39766600457200,0.04722295701503750,-11.075490632741400,0.04725507274270060,51.069851036094200,0.053531528,DR3,19.581024414840000,0.02052487202265110,19.581024414840000,0.02052487202265110,,,,,,,322.494633978895,0.074358080658177,DR3,-270.6238991750180,0.057276916,-175.40095250736600,0.04741813,322.494633978895,-270.623899175018,0.057276916,-175.400952507366,0.04741813,,,,,,,,,,,,,-,1.0588284,47.12844377240780,-47.913001833812000,331.398994,-11.074661,17.9405,0.0179,15.3513,0.0029,13.9320,0.0040,11.659,0.024,11.052,0.023,10.723,0.024,AAA,10.522,0.022,10.292,0.020,10.124,0.069,8.745,,AAAU,0.28263580799102800,13.965903282165500,1.6225905,1,1,NOT_AVAILABLE,,,,,339,338,0.01981986314058300,0,False
698,192,PM J05341+4732A,,J05341+475,,05:34:10.56,+47:32:02.8,M2.5 V,72.5,2013AJ....145..102L,,,0,,Multiple,Quadruple*,B*,,,-,High proper motion,,,,,,,,,,,,75945.4450,2282.1357,,,169.36,,0.4918,0.0295,0.4772,0.0133,This work,,,,,,,,,,,,,,,,,,,,,,,9.0244,0.0035,0.6096,0.0272,0.4918,0.0295,1.2095,0.0466,6.964E+33,5.206E+32,19942897.77,363277.31,0.0614,3.1092,0.0073,True,False,False,False,False,False,0,,false,true,true,4,true,false,true,false,false,false,false,false,false,true,209340936552687488,209340936552687488,05341064+4732033,J053410.61+473203.3,83.54401771144050,0.020753199234604800,47.534124147934200,0.01598537154495720,30.049671712793400,0.02672447,DR3,33.27823377099520,0.02959576958331020,33.27823377099520,0.02959576958331020,,,,,,,69.0134951421953,0.033258833193925,DR3,-58.35117713906270,0.028387165,36.85108734118350,0.01732971,69.0134951421953,-58.3511771390627,0.028387165,36.8510873411835,0.01732971,,,,,,,,,,,-5.055981,0.43483797,DR3,1.5090936,162.96789017396100,7.910068524094970,83.544355,47.534252,12.7261,0.0087,11.6352,0.0029,10.5283,0.0045,8.752,0.020,8.096,0.031,7.891,0.024,AAA,7.665,0.030,7.592,0.020,7.543,0.020,7.289,0.101,AAAA,0.20186524093151100,71.89144134521480,1.4322796,0,1,NOT_AVAILABLE,0.43367717,8.479625,31,-0.39926293,602,586,0.03139248490333560,0,False
699,192,PM J05341+4732B,,,,05:34:10.62,+47:32:05.2,M3.0 V,73.0,This work,,,0,,Multiple,Quadruple*,C*,,,-,High proper motion,Absent in WDS but see Ans15 (2.33 arcsec),,,,,,,,,,,75899.0502,2279.9577,,,169.34,,0.3669,0.0325,0.3643,0.0146,This work,,,,,,,,,,,,,,,,,,,,,,,10.0598,0.0032,0.6096,0.0272,0.3669,0.0325,1.2095,0.0466,5.198E+33,5.156E+32,21160532.40,459185.74,0.1161,4.5205,0.0076,True,False,False,True,False,False,0,,false,true,true,4,true,false,true,false,false,false,false,false,false,true,209340936550313856,209340936550313856,n/a,n/a,83.5442687049524,0.017744066193699800,47.53477097450160,0.01348575484007600,30.039343861934300,0.022668622,DR3,33.28967518718660,0.025121422984121100,33.28967518718660,0.025121422984121100,,,,,,,61.8531721449989,0.0280531661556992,DR3,-47.44897653767380,0.024116958,39.67882974491750,0.0143301245,61.8531721449989,-47.4489765376738,0.024116958,39.6788297449175,0.0143301245,,,,,,,,,,,-4.078288,1.7847646,DR3,1.310537,162.96742710602800,7.910555073044720,,,14.0640,0.0068,12.6713,0.0028,11.4546,0.0067,,,,,,,,,,,,,,,,,0.15978452563285800,38.76401901245120,1.4920812,1,0,NOT_AVAILABLE,0.00040276969,19.648499,31,5.6828895,601,600,0.036428071558475500,0,False
473,130,LSPM J0409+1622,,,,04:09:57.30,+16:22:41.3,M5.5 V,75.5,This work,Hya,Ros11/Kop16/Lod19/Fre20,0,,Multiple,SKG,B*,,,-,High proper motion,,,,,,,,,,,,74092.5609,2131.5672,,,282.50,,0.1507,0.0416,0.1611,0.0187,This work,,,,,,,,,,,,,,,,,,,,,,,12.8193,0.0048,0.6520,0.0516,0.1507,0.0416,0.8027,0.0932,2.339E+33,6.718E+32,22510932.18,929387.34,0.0332,1.1413,0.0187,True,False,False,False,False,False,0,,false,true,true,4,true,false,true,false,false,false,false,false,false,false,45506454107945344,45506454107945344,04095712+1622417,J040957.24+162241.4,62.488758335106300,0.04537085443735120,16.378135277327900,0.033789318054914500,28.768977053546600,0.05100125,DR3,34.75966483405850,0.061621459561054500,34.75966483405850,0.061621459561054500,,,,,,,161.151816298448,0.0753385554104016,DR3,158.47749940965800,0.059093818,-29.236793209081600,0.046731345,161.151816298448,158.477499409658,0.059093818,-29.2367932090816,0.046731345,,,,,,,,,,,,,-,1.1411465,176.76526939733200,-25.119277742618500,62.488026,16.378277,17.6749,0.0127,15.5247,0.0029,14.1729,0.0043,12.085,0.026,11.464,0.030,11.154,0.018,AAA,10.979,0.024,10.780,0.022,10.691,0.110,9.010,,AABU,0.258455753326416,8.186912536621090,1.5620378,2,0,NOT_AVAILABLE,,,,,247,247,0.027153033763170200,0,False
2548,700,GJ 4319,,,4319,23:16:08.65,+06:44:32.2,M3.5 V,73.5,This work,,,0,,Multiple,Double*,B*,,,-,High proper motion,,,,,,,,,,,,36823.0677,1803.4321,,,314.68,,0.33570,0.01450,0.34090,0.01040,This work,,,,,,,,,,,,,,,3300,50,This work,5.00,0.25,0.0124160759,0.0000775353,This work,10.4436,0.0030,0.4029,0.0162,0.3357,0.0145,0.7386,0.0307,6.480E+33,3.824E+32,8222114.12,121013.11,0.0111,0.3773,0.0012,True,False,False,False,False,False,0,,false,true,true,4,true,true,true,false,false,false,false,false,false,true,2664368290465455232,2664368290465455232,23160847+0644360,J231608.59+064433.5,349.036059612254,0.022658580914139700,6.74228226888577,0.01830970123410230,48.97560660932990,0.025742408,DR3,20.41832800514000,0.01073221888559540,20.41832800514000,0.01073221888559540,,,,,,,304.893609007842,0.037494521264207,DR3,173.64242982733900,0.029280305,-250.61607964670700,0.023420138,304.893609007842,173.642429827339,0.029280305,-250.616079646707,0.023420138,,,,,,,,,,,26.296736,0.36520025,DR3,1.0742733,85.2179391816569,-49.02464469734090,349.035299,6.743356,13.4422,0.0039,11.9937,0.0028,10.8115,0.0040,9.205,0.022,8.630,0.046,8.407,0.024,AAA,8.201,0.023,8.073,0.020,7.947,0.021,7.511,0.179,AAAB,0.15046371519565600,22.540700912475600,1.441538,1,1,NOT_AVAILABLE,0.6442446,3.640213,14,-0.76778466,184,184,0.04275738447904590,0,False
37,12,LP 404-54,,,,00:15:13.81,+19:47:40.5,M5.0 V,75.0,This work,,,0,,Multiple,Triple*,C*,,,-,High proper motion,,,,,,,,,,,,60679.5365,1751.9810,,,236.25,,0.18770,0.01080,0.20060,0.00650,This work,,,,,,,,,,,,,,,3100,50,This work,4.00,0.25,0.0033491321,0.0000195636,This work,12.1764,0.0038,0.3192,0.0340,0.1877,0.0108,0.8196,0.0494,1.742E+33,2.109E+32,20994737.01,738772.87,0.0327,1.2257,0.0149,True,False,False,False,False,False,0,,false,true,true,4,true,true,true,false,false,false,false,false,false,true,2797697273768502400,2797697273768502400,00151353+1947401,J001513.72+194740.3,3.8075613611756800,0.025209946557879400,19.794572228352100,0.02084510028362270,28.872681937343300,0.033844147,DR3,34.6348150881897,0.0405984375024902,34.6348150881897,0.0405984375024902,,,,,,,233.799722539748,0.0481634091528517,DR3,232.74084414999300,0.033627864,22.22632952180160,0.03448015,233.799722539748,232.740844149993,0.033627864,22.2263295218016,0.03448015,,,,,,,,,,,-0.8083961,5.922558,DR3,1.0704216,111.39309239972600,-42.26449391739590,3.806377,19.794474,16.7589,0.0053,14.8740,0.0028,13.5823,0.0039,11.704,0.020,11.121,0.024,10.829,0.019,AAA,10.620,0.022,10.423,0.021,10.325,0.105,8.184,,AAAU,0.12302351742982900,4.663773059844970,1.5109965,1,0,NOT_AVAILABLE,,,13,,457,455,0.024554332718253100,0,False
